internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
15038705,Calliptamus plebeius,"Caloptenus vulcanicus Krauss, 1892",Caloptenus,vulcanicus,"Krauss, 1892",,
15038705,Calliptamus plebeius," Heteracris  plebeia  Walker, F., 1870", Heteracris ,plebeia ,"Walker, F., 1870",,
16084450,Omocestus simonyi,"Stenobothrus  simonyi  Krauss, 1892 ",Stenobothrus ,simonyi ,"Krauss, 1892 ",,
16084509,Sphingonotus guanchus,"Wernerella  guancha  Johnsen, 1985 ",Wernerella ,guancha ,"Johnsen, 1985 ",,
16084573,Sphingonotus pachecoi,"Fortunata  pachecoi  Bolívar, I., 1908 ",Fortunata ,pachecoi ,"Bolívar, I., 1908 ",,
16084409,Sphingonotus picteti,"Thalpomena picteti  Krauss, 1892",Thalpomena,picteti ,"Krauss, 1892",,
16084496,Sphingonotus rugosus,"Wernerella  rugosa  Bland & Gangwere, 1998",Wernerella ,rugosa ,"Bland & Gangwere, 1998",,
16084531,Sphingonotus sublaevis,"Sphingonotus freyi Uvarov, 1948",Sphingonotus,freyi,"Uvarov, 1948",,
16084531,Sphingonotus sublaevis,"Fortunata  sublaevis  Bolívar, I., 1908",Fortunata ,sublaevis ,"Bolívar, I., 1908",,
16084556,Sphingonotus willemsei,"Sphingonotus teydei Uvarov, 1948",Sphingonotus,teydei,"Uvarov, 1948",,
16896690,Acrostira bellamyi,"Orchamus bellamyi Uvarov, 1922",Orchamus,bellamyi,"Uvarov, 1922",,
16895612,Calliphona koenigi,"Calliphona königii Krauss, 1892 [orth. error]",Calliphona,königii,"Krauss, 1892 [orth. error]",,
16895402,Canariola nubigena,"Orophila nubigena Krauss, 1892",Orophila,nubigena,"Krauss, 1892",,
176599,Medicago littoralis,Medicago arenaria Ten.,Medicago,arenaria,Ten.,,
176599,Medicago littoralis,Medicago cylindracea DC.,Medicago,cylindracea,DC.,,
176599,Medicago littoralis,Medicago subinermis Bertol.,Medicago,subinermis,Bertol.,,
176599,Medicago littoralis,Medicago tricycla DC.,Medicago,tricycla,DC.,,
59897,Ischnura senegalensis,"Enallagma brevispina Selys, 1876",Enallagma,brevispina,"Selys, 1876",,
59897,Ischnura senegalensis,"Agrion senegalense Rambur, 1842",Agrion,senegalense,"Rambur, 1842",,
79728152,Kleinia neriifolia,Senecio kleinia (L.) Less.,Senecio,kleinia,(L.) Less.,,
79728152,Kleinia neriifolia,Cacalia kleinia L.,Cacalia,kleinia,L.,,
37669,Heberdenia excelsa,Ardisia bahamensis (Gaertn.) DC.,Ardisia,bahamensis,(Gaertn.) DC.,,
37669,Heberdenia excelsa,Heberdenia bahamensis (Gaertn.) Sprague,Heberdenia,bahamensis,(Gaertn.) Sprague,,
37669,Heberdenia excelsa,Ardisia excelsa Aiton,Ardisia,excelsa,Aiton,,
79722994,Adenocarpus foliolosus,Cytisus foliolosus Aiton,Cytisus,foliolosus,Aiton,,
30322,Arbutus canariensis,Arbutus callicarpa Buch,Arbutus,callicarpa,Buch,,
30322,Arbutus canariensis,Arbutus procera Aiton,Arbutus,procera,Aiton,,
85519948,Morella faya,Myrica faya Aiton,Myrica,faya,Aiton,,
85519948,Morella faya,Faya fragifera Webb & Berthel.,Faya,fragifera,Webb & Berthel.,,
62567,Apollonias barbujana,Laurus barbujana Cav.,Laurus,barbujana,Cav.,,
62382,Ilex perado,Ilex maderensis Lam.,Ilex,maderensis,Lam.,,
37673,Maytenus canariensis,Gymnosporia cassinoides (L'Hér.) Masf.,Gymnosporia,cassinoides,(L'Hér.) Masf.,,
30328,Ocotea foetens,Keiria lutea Bowdich,Keiria,lutea,Bowdich,,
30328,Ocotea foetens,Laurus foetens Aiton,Laurus,foetens,Aiton,,
30331,Picconia excelsa,Olea excelsa Sol.,Olea,excelsa,Sol.,,
83468031,Asplenium anceps,Asplenium trichomanes L. var. anceps (Hook. & Grev.) Milde,Asplenium,trichomanes,L.,variety,(Hook. & Grev.) Milde
83468188,Asplenium aureum,Asplenium latifolium Bory,Asplenium,latifolium,Bory,,
83468188,Asplenium aureum,Ceterach officinarum L. var. aureum (Cav.) Menezes,Ceterach,officinarum,L.,variety,(Cav.) Menezes
83468188,Asplenium aureum,Ceterach aureum (Cav.) L.v.Buch,Ceterach,aureum,(Cav.) L.v.Buch,,
83468188,Asplenium aureum,Ceterach canariensis Willd.,Ceterach,canariensis,Willd.,,
83474922,Asplenium lolegnamense,Ceterach lolegnamense Gibby & Lovis,Ceterach,lolegnamense,Gibby & Lovis,,
59859,Crocothemis erythraea,"Libellula erythraea Brullé, 1832",Libellula,erythraea,"Brullé, 1832",,
59954,Orthetrum chrysostigma,"Orthetrum chrysostigma Burmeister, 1839",Orthetrum,chrysostigma,"Burmeister, 1839",,
59954,Orthetrum chrysostigma,"Libellula barbara Selys, 1849",Libellula,barbara,"Selys, 1849",,
59965,Orthetrum trinacria,"Orthetrum trinacria  Selys, 1841",Orthetrum,trinacria ,"Selys, 1841",,
60052,Trithemis annulata,"Trithemis annulata Palisot de Beauvois, 1807",Trithemis,annulata,"Palisot de Beauvois, 1807",,
60052,Trithemis annulata,"Trithemis annulata ssp. haematina (Rambur, 1842)",Trithemis,annulata,,subspecies,"(Rambur, 1842)"
60052,Trithemis annulata,"Libellula haematina Rambur, 1842",Libellula,haematina,"Rambur, 1842",,
60053,Trithemis arteriosa,"Trithemis arteriosa Burmeister, 1839",Trithemis,arteriosa,"Burmeister, 1839",,
60053,Trithemis arteriosa,"Libellula conjuncta Selys, 1849",Libellula,conjuncta,"Selys, 1849",,
60053,Trithemis arteriosa,"Libellula distincta Rambur, 1842",Libellula,distincta,"Rambur, 1842",,
60053,Trithemis arteriosa,"Trithemis jacksoni Pinhey, 1970",Trithemis,jacksoni,"Pinhey, 1970",,
60053,Trithemis arteriosa,"Trithemis stuhlmanni Gerstacker, 1891",Trithemis,stuhlmanni,"Gerstacker, 1891",,
60053,Trithemis arteriosa,"Libellula rubella Brullé, 1844",Libellula,rubella,"Brullé, 1844",,
60053,Trithemis arteriosa,"Trithemis stuhlmanni Gerstäcker, 1891",Trithemis,stuhlmanni,"Gerstäcker, 1891",,
60078,Zygonyx torridus,"Pseudomacromia atlantica Martin, 1900",Pseudomacromia,atlantica,"Martin, 1900",,
60078,Zygonyx torridus,"Zygonyx torrida (Kirby, 1889) [orth. error]",Zygonyx,torrida,"(Kirby, 1889) [orth. error]",,
60078,Zygonyx torridus,"Zygonyx torridus (Kirby, 1899) ssp. insulanus Pinhey, 1981",Zygonyx,torridus,"(Kirby, 1899)",subspecies,"Pinhey, 1981"
60078,Zygonyx torridus,"Zygonyx torridus (Kirbyi, 1899) ssp. isis Fraser, 1924",Zygonyx,torridus,"(Kirbyi, 1899)",subspecies,"Fraser, 1924"
60078,Zygonyx torridus,"Pseudomacromia torrida Kirby, 1889",Pseudomacromia,torrida,"Kirby, 1889",,
203497,Tribulus terrestris,Hedysarum uniflorum Lapeyr.,Hedysarum,uniflorum,Lapeyr.,,
203497,Tribulus terrestris,Tribulus acanthococcus F.Muell.,Tribulus,acanthococcus,F.Muell.,,
203497,Tribulus terrestris,Tribulus albus Poir.,Tribulus,albus,Poir.,,
203497,Tribulus terrestris,Tribulus gussonei Tod. & Pirain. ex Parl.,Tribulus,gussonei,Tod. & Pirain. ex Parl.,,
203497,Tribulus terrestris,Tribulus hispidus C.Presl,Tribulus,hispidus,C.Presl,,
203497,Tribulus terrestris,Tribulus humifusus Schumach. & Thonn.,Tribulus,humifusus,Schumach. & Thonn.,,
203497,Tribulus terrestris,Tribulus kotschyanus Boiss.,Tribulus,kotschyanus,Boiss.,,
203497,Tribulus terrestris,Tribulus lanuginosus L.,Tribulus,lanuginosus,L.,,
203497,Tribulus terrestris,Tribulus micans Welw.,Tribulus,micans,Welw.,,
203497,Tribulus terrestris,Tribulus murex C.Presl,Tribulus,murex,C.Presl,,
203497,Tribulus terrestris,Tribulus muricatus Stokes,Tribulus,muricatus,Stokes,,
203497,Tribulus terrestris,Tribulus robustus Boiss. & Noë,Tribulus,robustus,Boiss. & Noë,,
203497,Tribulus terrestris,Tribulus terrestris var. macrocarpus Rouy,Tribulus,terrestris,,variety,Rouy
203497,Tribulus terrestris,Tribulus maximus var. roseus Kuntze,Tribulus,maximus,,variety,Kuntze
203497,Tribulus terrestris,Tribulus orientalis A.Kern.,Tribulus,orientalis,A.Kern.,,
83774038,Sideritis barbellata,Leucophae barbellata (Mend.-Heuer) G.Kunkel,Leucophae,barbellata,(Mend.-Heuer) G.Kunkel,,
83649274,Dryopteris oligodonta,Aspidium oligodonton Desv.,Aspidium,oligodonton,Desv.,,
83649274,Dryopteris oligodonta,Dryopteris oligantha (Desv.) C.Chr.,Dryopteris,oligantha,(Desv.) C.Chr.,,
83649274,Dryopteris oligodonta,Aspidium canariense A.Braun,Aspidium,canariense,A.Braun,,
162293,Culcita macrocarpa,Balantium culcita (L'Hér.) Kaulf.,Balantium,culcita,(L'Hér.) Kaulf.,,
162293,Culcita macrocarpa,Dicksonia culcita L'Hér.,Dicksonia,culcita,L'Hér.,,
162169,Trichomanes speciosum,Vandenboschia speciosa (Willd.) G.Kunkel,Vandenboschia,speciosa,(Willd.) G.Kunkel,,
83651176,Allosorus fragilis,Cheilanthes pulchella Willd.,Cheilanthes,pulchella,Willd.,,
164191,Pteris incompleta,Pteris palustris Poir.,Pteris,palustris,Poir.,,
164191,Pteris incompleta,Pteris arguta Aiton,Pteris,arguta,Aiton,,
164191,Pteris incompleta,Pteris serrulata Forssk.,Pteris,serrulata,Forssk.,,
22680313,Spatula querquedula,"Anas querquedula Linnaeus, 1758",Anas,querquedula,"Linnaeus, 1758",,
22680149,Mareca strepera,"Anas strepera Linnaeus, 1758",Anas,strepera,"Linnaeus, 1758",,
86124273,Malva canariensis,Malva acerifolia (Cav.) Alef.,Malva,acerifolia,(Cav.) Alef.,,
86124273,Malva canariensis,Lavatera acerifolia Cav.,Lavatera,acerifolia,Cav.,,
19891755,Ulex europaeus,Ulex major Thore,Ulex,major,Thore,,
19891755,Ulex europaeus,Ulex opistholepis Webb,Ulex,opistholepis,Webb,,
19891755,Ulex europaeus,Ulex strictus J.Mackay,Ulex,strictus,J.Mackay,,
19891755,Ulex europaeus,Ulex armoricanus Mabille,Ulex,armoricanus,Mabille,,
19891755,Ulex europaeus,Ulex hibernicus G.Don,Ulex,hibernicus,G.Don,,
19891755,Ulex europaeus,Ulex vernalis Thore,Ulex,vernalis,Thore,,
19891755,Ulex europaeus,Ulex europaea L.,Ulex,europaea,L.,,
19891755,Ulex europaeus,Ulex compositus Moench,Ulex,compositus,Moench,,
19891755,Ulex europaeus,Ulex floridus Salisb.,Ulex,floridus,Salisb.,,
83764446,Hypericum canariense,Hypericum floribundum Aiton,Hypericum,floribundum,Aiton,,
83764446,Hypericum canariense,Webbia canariensis (L.) Webb & Berthel.,Webbia,canariensis,(L.) Webb & Berthel.,,
86803993,Arhopalus pinetorum,"Criocephalus pinetorum Wollaston, 1863",Criocephalus,pinetorum,"Wollaston, 1863",,
86860058,Nacerdochroa concolor,"Alloxantha hierrensis Franz, 1985",Alloxantha,hierrensis,"Franz, 1985",,
86860058,Nacerdochroa concolor,"Holoxantha concolor (Brullé, 1839)",Holoxantha,concolor,"(Brullé, 1839)",,
86860058,Nacerdochroa concolor,"Ditylus concolor Brullé, 1839",Ditylus,concolor,"Brullé, 1839",,
86884413,Pelleas crotchii,"Tenebrio crotchii Wollaston, 1865",Tenebrio,crotchii,"Wollaston, 1865",,
22710881,Pastor roseus,"Sturnus roseus (Linnaeus, 1758)",Sturnus,roseus,"(Linnaeus, 1758)",,
61684,Sambucus nigra,Sambucus palmensis Link,Sambucus,palmensis,Link,,
202991,Silybum marianum,Carduus marianus L.,Carduus,marianus,L.,,
202991,Silybum marianum,Carduus lactifolius Stokes,Carduus,lactifolius,Stokes,,
202991,Silybum marianum,Carduus  mariae Crantz,Carduus ,mariae,Crantz,,
202991,Silybum marianum,Carduus versicolor Salisb.,Carduus,versicolor,Salisb.,,
202991,Silybum marianum,Carthamus maculatus (Scop.) Lam.,Carthamus,maculatus,(Scop.) Lam.,,
202991,Silybum marianum,Centaurea dalmatica Fraas,Centaurea,dalmatica,Fraas,,
202991,Silybum marianum,Mariacantha maculosa Bubani,Mariacantha,maculosa,Bubani,,
202991,Silybum marianum,Cirsium maculatum Scop.,Cirsium,maculatum,Scop.,,
202991,Silybum marianum,Mariana lactea Hill,Mariana,lactea,Hill,,
202991,Silybum marianum,Mariana mariana Hill,Mariana,mariana,Hill,,
202991,Silybum marianum,Silybum intermedium Willk.,Silybum,intermedium,Willk.,,
202991,Silybum marianum,Silybum leucanthum Jord. & Fourr.,Silybum,leucanthum,Jord. & Fourr.,,
202991,Silybum marianum,Silybum maculatum (Scop.) Moench,Silybum,maculatum,(Scop.) Moench,,
202991,Silybum marianum,Silybum mariae (Crantz) Gray,Silybum,mariae,(Crantz) Gray,,
202991,Silybum marianum,Silybum pygmaeum Cass.,Silybum,pygmaeum,Cass.,,
88793825,Stictoleptura palmi,"Leptura palmi Demelt, 1971",Leptura,palmi,"Demelt, 1971",,
22697327,Ixobrychus sturmii,Ardeirallus sturmii sturmii Cramp and Simmons (1977-1994),Ardeirallus sturmii,sturmii,Cramp and Simmons (1977-1994),,
164133,Zannichellia palustris,Pelta palustris (L.) Dulac,Pelta,palustris,(L.) Dulac,,
164522,Paspalidium geminatum,Panicum paspalodes Pers.,Panicum,paspalodes,Pers.,,
164522,Paspalidium geminatum,Panicum fluitans Retz.,Panicum,fluitans,Retz.,,
164522,Paspalidium geminatum,Panicum brizoides Lam.,Panicum,brizoides,Lam.,,
164522,Paspalidium geminatum,Setaria geminata (Forssk.) Veldkamp,Setaria,geminata,(Forssk.) Veldkamp,,
164522,Paspalidium geminatum,Panicum geminatum Forssk.,Panicum,geminatum,Forssk.,,
99556169,Sideroxylon canariense,"Sideroxylon canariensis T.Leyens, W.Lobin & A.Santos",Sideroxylon,canariensis,"T.Leyens, W.Lobin & A.Santos ",,
37665,Pleiomeris canariensis,Myrsine canariensis (Willd.) Spreng.,Myrsine,canariensis,(Willd.) Spreng.,,
37665,Pleiomeris canariensis,Scleroxylon canariense Willd.,Scleroxylon,canariense,Willd.,,
73094135,Cytisus proliferus,Chamaecytisus proliferus (L.f.) Link,Chamaecytisus,proliferus,(L.f.) Link,,
73094135,Cytisus proliferus,Chamaecytisus proliferus subsp. meridionalis Acebes,Chamaecytisus,proliferus,,subspecies (plantae),Acebes
101608332,Cytisus supranubius,Cytisus fragrans Lam.,Cytisus,fragrans,Lam.,,
101608332,Cytisus supranubius,Cytisus nubigenus (L'Her.) Link,Cytisus,nubigenus,(L'Her.) Link,,
101608332,Cytisus supranubius,Spartocytisus nubigenus Webb & Berthel.,Spartocytisus,nubigenus,Webb & Berthel.,,
101608332,Cytisus supranubius,Spartocytisus supranubius (L.f.) Christ ex G.Kunkel,Spartocytisus,supranubius,(L.f.) Christ ex G.Kunkel,,
38393,Salix canariensis,Salix pedicellata Desf. subsp. canariensis (Link) A.K.Skvortsov,Salix,pedicellata,Desf.,subspecies (plantae),(Link) A.K.Skvortsov
30329,Persea indica,Laurus indica L.,Laurus,indica,L.,,
30329,Persea indica,Borbonia indica J.Presl,Borbonia,indica,J.Presl,,
102795325,Schizogyne sericea,Chrysocoma sericea L.f.,Chrysocoma,sericea,L.f.,,
102818634,Euphorbia mellifera,Euphorbia mellifera Aiton var. canariensis Boiss.,Euphorbia,mellifera,Aiton,variety,Boiss.
102818794,Globularia salicina,Globularia longifolia Aiton,Globularia,longifolia,Aiton,,
102818794,Globularia salicina,Lytanthus salicinus (Lam.) Wettst.,Lytanthus,salicinus,(Lam.) Wettst.,,
30334,Rhamnus integrifolia,Rhamnus coriacea Buch,Rhamnus,coriacea,Buch,,
103686613,Cneorum pulverulentum,Chamaelea pulverulenta (Vent.) Tiegh.,Chamaelea,pulverulenta,(Vent.) Tiegh.,,
103686613,Cneorum pulverulentum,Neochamaelea pulverulenta (Vent.) Erdtman,Neochamaelea,pulverulenta,(Vent.) Erdtman,,
104182492,Carlina salicifolia,Carlina falcata Svent.,Carlina,falcata,Svent.,,
104182492,Carlina salicifolia,Carthamus salicifolius L.f.,Carthamus,salicifolius,L.f.,,
104182492,Carlina salicifolia,Carlowizia salicifolia (L.f.) Moench,Carlowizia,salicifolia,(L.f.) Moench,,
104182492,Carlina salicifolia,Carlina salicifolia (L.f.) Cav. var. inermis Lowe,Carlina,salicifolia,(L.f.) Cav.,variety,Lowe
104185163,Plantago arborescens,Psyllium arborescens (Poir.) Mirb.,Psyllium,arborescens,(Poir.) Mirb.,,
104190621,Bencomia caudata,Poterium caudatum Aiton,Poterium,caudatum,Aiton,,
104191153,Marcetella moquiniana,Bencomia moquiniana Webb & Berthel.,Bencomia,moquiniana,Webb & Berthel.,,
104191153,Marcetella moquiniana,Sanguisorba moquiniana (Webb & Berthel.) Nordborg,Sanguisorba,moquiniana,(Webb & Berthel.) Nordborg,,
104191669,Plocama pendula,Bartlingia scoparia Rchb.,Bartlingia,scoparia,Rchb.,,
68378608,Eumodicogryllus bordigalensis,"Gryllus bordigalensis Latreille, 1804",Gryllus,bordigalensis,"Latreille, 1804",,
68378608,Eumodicogryllus bordigalensis,"Gryllus arvensis Rambur, 1838",Gryllus,arvensis,"Rambur, 1838",,
68378608,Eumodicogryllus bordigalensis,"Gryllus cerisyi Serville, 1838",Gryllus,cerisyi,"Serville, 1838",,
68378608,Eumodicogryllus bordigalensis,"Acheta chinensis Weber, 1801",Acheta,chinensis,"Weber, 1801",,
68378608,Eumodicogryllus bordigalensis,"Gryllus cinereus Costa, 1852",Gryllus,cinereus,"Costa, 1852",,
68378608,Eumodicogryllus bordigalensis,"Gryllus eversmanni Jakovlev, 1871",Gryllus,eversmanni,"Jakovlev, 1871",,
68378608,Eumodicogryllus bordigalensis,"Gryllodes ferdinandi Bolívar, 1899",Gryllodes,ferdinandi,"Bolívar, 1899",,
68378608,Eumodicogryllus bordigalensis,"Gryllus geminus Serville, 1838",Gryllus,geminus,"Serville, 1838",,
68378608,Eumodicogryllus bordigalensis,"Gryllus hygrophilus Krauss, 1902",Gryllus,hygrophilus,"Krauss, 1902",,
68378608,Eumodicogryllus bordigalensis,"Gryllus marginatus Eversmann, 1859",Gryllus,marginatus,"Eversmann, 1859",,
68378608,Eumodicogryllus bordigalensis,"Gryllus pygmaeus Walker, 1869",Gryllus,pygmaeus,"Walker, 1869",,
19218728,Celtis australis,Celtis  excelsa  Salisb.,Celtis ,excelsa ,Salisb.,,
73094040,Erica arborea,Arsace arborea Fourr.,Arsace,arborea,Fourr.,,
31361,Morella rivas-martinezii,Myrica rivas-martinezii A.Santos,Myrica,rivas-martinezii,A.Santos,,
110626455,Dendriopoterium menendezii,Sanguisorba menendezii (Svent.) Nordborg,Sanguisorba,menendezii,(Svent.) Nordborg,,
110627649,Genista canariensis,Cytisus canariensis (L.) Kuntze,Cytisus,canariensis,(L.) Kuntze,,
110627649,Genista canariensis,Teline canariensis (L.) Webb & Berthel.,Teline,canariensis,(L.) Webb & Berthel.,,
110688013,Aloe arborescens,Aloe perfoliata L. var. arborescens (Mill.) Aiton,Aloe,perfoliata,L.,variety,(Mill.) Aiton
110688013,Aloe arborescens,Catevala arborescens (Mill.) Medik.,Catevala,arborescens,(Mill.) Medik.,,
22680157,Mareca penelope,"Anas penelope Linnaeus, 1758",Anas,penelope,"Linnaeus, 1758",,
62861,Sorbus aria,Sorbus huljakii Kárpáti,Sorbus,huljakii,Kárpáti,,
62861,Sorbus aria,Crataegus aria L.,Crataegus,aria,L.,,
62861,Sorbus aria,Malus aria (L.) Risso,Malus,aria,(L.) Risso,,
62861,Sorbus aria,Pyrus aria (L.) Ehrh.,Pyrus,aria,(L.) Ehrh.,,
62861,Sorbus aria,Azarolus aria (L.) Borkh.,Azarolus,aria,(L.) Borkh.,,
63485,Rhus coriaria,Toxicodendron coriaria (L.) Kuntze,Toxicodendron,coriaria,(L.) Kuntze,,
61686,Echium decaisnei,Echium decaisnei Webb & Berthel. subsp. decaisnei,Echium,decaisnei,Webb & Berthel.,subspecies (plantae),
61686,Echium decaisnei,Echium decaisnei  Webb & Berthel. subsp. purpuriense Bramwell,Echium,decaisnei, Webb & Berthel.,subspecies (plantae),Bramwell
61686,Echium decaisnei,Echium famarae Lems & Holzapfel.,Echium,famarae,Lems & Holzapfel.,,
165129,Genista benehoavensis,Convolvulus benehoavensis Bolle,Convolvulus,benehoavensis,Bolle,,
165129,Genista benehoavensis,Cytisus benehoavensis (Bolle) Svent.,Cytisus,benehoavensis,(Bolle) Svent.,,
165129,Genista benehoavensis,Teline benehoavensis (Bolle ex Svent.) A.Santos,Teline,benehoavensis,(Bolle ex Svent.) A.Santos,,
19365844,Pistacia atlantica,Pistacia atlantica Desf. subsp. cypricola H.Lindb.,Pistacia,atlantica,Desf.,subspecies (plantae),H.Lindb.
19365844,Pistacia atlantica,Pistacia atlantica Desf. subsp. mutica (Fisch. & C.A.Mey.) Rech. f.,Pistacia,atlantica,Desf.,subspecies (plantae),(Fisch. & C.A.Mey.) Rech. f.
19365844,Pistacia atlantica,Terebinthus atlanticus  (Desf.) Dum.Cours.,Terebinthus,atlanticus ,(Desf.) Dum.Cours.,,
